Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 21:13:00;;;;;;100633;23,9684;30,76;386,344;1,59689;1,76273;1,48591;1,70918;0,361006
2017-03-27 21:14:00;;;;;;100634;23,9909;30,7619;377,375;1,59786;1,76316;1,49147;1,71192;0,360966
2017-03-27 21:15:00;;;;;;100635;23,9703;30,73;376,594;1,60027;1,76344;1,49854;1,71489;0,360719
2017-03-27 21:16:00;;;;;;100634;23,9481;30,7562;386,062;1,60485;1,76464;1,51734;1,72449;0,361203
2017-03-27 21:17:00;;;;;;100635;23,9481;30,8413;384,438;1,59993;1,76331;1,49812;1,71461;0,361053
2017-03-27 21:18:00;;;;;;100635;23,9233;30,8538;378,594;1,59805;1,76325;1,49044;1,71197;0,360894
2017-03-27 21:19:00;;;;;;100636;23,92;30,85;381,312;1,59726;1,76303;1,48818;1,71138;0,360816
2017-03-27 21:20:00;;;;;;100638;23,9263;30,89;372,812;1,59594;1,76294;1,48039;1,70619;0,360887
2017-03-27 21:21:00;;;;;;100637;23,9241;30,8716;387,812;1,60006;1,76333;1,49906;1,71591;0,361072
2017-03-27 21:22:00;;;;;;100638;23,9069;30,9638;375,562;1,60979;1,76752;1,53633;1,73372;0,360822
2017-03-27 21:23:00;;;;;;100636;23,92;30,92;376,219;1,61225;1,76916;1,54739;1,739;0,360606
2017-03-27 21:24:00;;;;;;100636;23,8847;30,945;384,469;1,60842;1,76648;1,53255;1,73203;0,360713
2017-03-27 21:25:00;;;;;;100635;23,88;30,9838;382,031;1,61179;1,76873;1,54562;1,73806;0,360787
2017-03-27 21:26:00;;;;;;100634;23,8663;31;384,875;1,60892;1,76723;1,53312;1,73191;0,360478
2017-03-27 21:27:00;;;;;;100634;23,8931;30,9487;381,062;1,609;1,76725;1,53615;1,73387;0,360931
2017-03-27 21:28:00;;;;;;100637;23,9025;30,92;381,125;1,60435;1,76471;1,51747;1,72448;0,361347
2017-03-27 21:29:00;;;;;;100633;23,9022;30,9688;377,531;1,60656;1,76566;1,52259;1,72697;0,361356
2017-03-27 21:30:00;;;;;;100634;23,8878;30,9838;380,562;1,60883;1,76714;1,53503;1,73324;0,361684
2017-03-27 21:31:00;;;;;;100634;23,8578;31,0159;377,25;1,60282;1,76417;1,51177;1,7216;0,361913
2017-03-27 21:32:00;;;;;;100634;23,8359;31,0753;388,625;1,60762;1,7662;1,52748;1,72953;0,362131
2017-03-27 21:33:00;;;;;;100632;23,8409;31,07;375,75;1,60603;1,7655;1,52243;1,72717;0,361753
2017-03-27 21:34:00;;;;;;100630;23,8759;31,0566;386,812;1,60612;1,76595;1,52771;1,72884;0,362262
2017-03-27 21:35:00;;;;;;100632;23,8784;31;383,688;1,59867;1,7631;1,49339;1,7129;0,362241
2017-03-27 21:36:00;;;;;;100629;23,8744;31,0512;385,875;1,60067;1,7636;1,49828;1,71547;0,362394
2017-03-27 21:37:00;;;;;;100628;23,8959;30,9991;380,438;1,60843;1,76664;1,53361;1,73229;0,362525
2017-03-27 21:38:00;;;;;;100627;23,8697;31,0484;379,781;1,61195;1,76936;1,54476;1,73781;0,362584
2017-03-27 21:39:00;;;;;;100629;23,8456;31,0234;380,406;1,60153;1,76383;1,50632;1,71902;0,362456
2017-03-27 21:40:00;;;;;;100627;23,8241;31,0791;386,875;1,60839;1,76633;1,53145;1,73108;0,361944
2017-03-27 21:41:00;;;;;;100627;23,8213;31,08;387,469;1,60757;1,76616;1,52745;1,7295;0,362437
2017-03-27 21:42:00;;;;;;100628;23,8344;31,1163;379,188;1,60572;1,76526;1,52001;1,72539;0,362475
2017-03-27 21:43:00;;;;;;100630;23,8153;31,1191;386,625;1,60448;1,76476;1,5162;1,72346;0,362362
2017-03-27 21:44:00;;;;;;100633;23,7966;31,14;389,656;1,60312;1,76452;1,51189;1,72166;0,362016
2017-03-27 21:45:00;;;;;;100630;23,8012;31,1837;378,781;1,60658;1,76542;1,52517;1,728;0,361775
2017-03-27 21:46:00;;;;;;100632;23,83;31,1444;380,667;1,60167;1,76354;1,50352;1,71893;0,361639
2017-03-27 21:47:00;;;;;;100632;23,8297;31,0888;376,469;1,60461;1,76465;1,51768;1,72415;0,361059
2017-03-27 21:48:00;;;;;;100632;23,8178;31,1625;387,719;1,60503;1,76501;1,51985;1,72599;0,361272
2017-03-27 21:49:00;;;;;;100631;23,8178;31,1475;379,156;1,60465;1,7648;1,51961;1,72532;0,361341
2017-03-27 21:50:00;;;;;;100631;23,7981;31,1525;384,375;1,60929;1,7672;1,53329;1,73193;0,361388
2017-03-27 21:51:00;;;;;;100628;23,7934;31,14;378;1,60426;1,76477;1,51341;1,72289;0,361159
2017-03-27 21:52:00;;;;;;100629;23,7772;31,1612;380,781;1,59652;1,76263;1,48687;1,70908;0,361497
2017-03-27 21:53:00;;;;;;100628;23,7634;31,2019;382,438;1,59828;1,76307;1,49396;1,71411;0,361791
2017-03-27 21:54:00;;;;;;100628;23,7472;31,3325;385,844;1,59428;1,76158;1,47027;1,70297;0,361781
2017-03-27 21:55:00;;;;;;100626;23,7416;31,3363;381,156;1,60302;1,76398;1,51298;1,72193;0,362384
2017-03-27 21:56:00;;;;;;100626;23,78;31,3063;393,812;1,59963;1,76337;1,49594;1,71446;0,362506
